"GameID","HomeTeam","YPPHome","PlayvarHome","playskewHome","playkurtHome","totalyardsHome","PlaysHome","Homecompercent","HomeTOP","HomeExplode","HomeSuccess","HomeFieldpos","HomePointsPerTrip","HomeTurnover","HomePenalty","AwayTeam","YPPAway","PlayvarAway","playskewAway","playkurtAway","totalyardsAway","PlaysAway","Awaycompercent","AwayTOP","AwayExplode","AwaySuccess","AwayFieldpos","AwayPointsPerTrip","AwayTurnover","AwayPenalty","win"
2009091000,25,5.1,69.5405797101449,1.00152990246486,69.5405797101449,357,70,0.587786259541985,2065,0.243597014925373,0.457142857142857,69.1538461538462,1.625,3,60,31,5.24590163934426,91.6551912568306,3.05614070556946,91.6551912568306,320,61,0.543103448275862,1574,0.264966101694915,0.360655737704918,79.5,1.42857142857143,2,28,0
2009091304,8,4.5,46.3559322033898,0.907206793089949,46.3559322033898,270,60,0.535433070866142,1499,0.246689655172414,0.366666666666667,72.5,1.625,2,66,18,4.92063492063492,94.300051203277,3.74535064362992,94.300051203277,310,63,0.517482517482518,1934,0.375777777777778,0.507936507936508,61.1538461538462,3.09090909090909,1,38,0
2009091307,20,7.46376811594203,92.3405797101449,2.76441659172306,92.3405797101449,515,69,0.557046979865772,2126,0.584985074626866,0.594202898550725,61.9230769230769,4.33333333333333,2,36,11,5.05172413793103,128.260435571688,3.7029550109238,128.260435571688,293,58,0.478991596638655,1312,0.270327272727273,0.344827586206897,59.6923076923077,2.22222222222222,4,80,1
2009091308,30,6.17808219178082,77.0372907153729,2.33764807531781,77.0372907153729,451,73,0.524822695035461,1941,0.383027777777778,0.410958904109589,76.8181818181818,3.5,2,15,9,9.09615384615385,264.167043740573,2.78430159178652,264.167043740573,473,52,0.522522522522523,1526,0.592634615384615,0.442307692307692,71,4.25,1,41,0
2009091305,13,3.8936170212766,47.3145235892692,0.885951035192071,47.3145235892692,183,47,0.522727272727273,1179,0.127022222222222,0.361702127659574,78.2222222222222,0,2,37,22,6.32876712328767,95.0570776255708,1.96683178018909,95.0570776255708,462,73,0.509933774834437,2270,0.396785714285714,0.342465753424658,72.2727272727273,4.8,2,80,0
2009091306,14,5.25714285714286,57.7010351966874,2.32055745455355,57.7010351966874,368,70,0.57258064516129,1983,0.301529411764706,0.385714285714286,67.6,1.55555555555556,2,17,15,4.07142857142857,36.612987012987,1.95657303898193,36.612987012987,228,56,0.5,1498,0.218464285714286,0.363636363636364,72.4,2.6,1,24,1
2009091303,7,5.03174603174603,61.6763952892985,1.02967544278616,61.6763952892985,317,63,0.547008547008547,1917,0.255934426229508,0.428571428571429,72,0.875,3,27,10,5.80769230769231,174.511312217195,4.6907047890392,174.511312217195,302,52,0.523364485981308,1501,0.277519230769231,0.333333333333333,78.6363636363636,2.6,1,39,0
2009091302,5,2.65217391304348,34.8184143222506,0.716514049871537,34.8184143222506,183,69,0.47887323943662,1569,0.217032258064516,0.27536231884058,64.3333333333333,2.66666666666667,6,30,24,4.26984126984127,34.6518177163338,1.02331748165046,34.6518177163338,269,63,0.526315789473684,1820,0.294916666666667,0.349206349206349,60.2307692307692,2.4,2,76,0
2009091301,3,5.92941176470588,44.9949579831933,1.29517061885591,44.9949579831933,504,85,0.524390243902439,2330,0.401630952380952,0.529411764705882,69.9090909090909,4.75,2,65,16,4.29545454545455,86.7246300211416,3.01056256406657,86.7246300211416,189,44,0.529411764705882,1137,0.292333333333333,0.295454545454545,70.3636363636364,1.88888888888889,1,15,1
2009091300,2,4.32307692307692,42.1908653846154,0.876692844073757,42.1908653846154,281,65,0.528,1803,0.2704,0.384615384615385,53.0909090909091,2.5,1,35,17,4.66071428571429,36.8464285714286,0.718550799630498,36.8464285714286,261,56,0.555555555555556,1613,0.239634615384615,0.410714285714286,78.1818181818182,1,2,27,1
2009091309,1,4.75,64.8571428571429,1.66011327983801,64.8571428571429,304,64,0.536764705882353,1599,0.259403225806452,0.3125,73.7857142857143,1.77777777777778,3,82,28,3.23333333333333,75.1310734463277,2.67854920663673,75.1310734463277,194,60,0.507936507936508,1798,0.207118644067797,0.25,69.6923076923077,2.5,1,36,0
2009091311,27,6.37142857142857,93.9180124223602,3.5775068820322,93.9180124223602,446,70,0.555555555555556,1864,0.390149253731343,0.542857142857143,73.5833333333333,4,3,25,29,4.33333333333333,63.9761904761905,2.54434028708535,63.9761904761905,247,57,0.504132231404959,1527,0.174929824561403,0.350877192982456,75.0833333333333,0,1,85,1
2009091310,21,5.75409836065574,67.8218579234973,1.30283689952003,67.8218579234973,351,61,0.537190082644628,2084,0.3375,0.360655737704918,70.8,2,2,30,32,5.44,80.7412244897959,1.33844375756607,80.7412244897959,272,50,0.558823529411765,1348,0.340212765957447,0.36,68.7,2.42857142857143,2,32,0
2009091312,12,4.10909090909091,76.210101010101,2.62875861342651,76.210101010101,226,55,0.529411764705882,1535,0.205527272727273,0.333333333333333,58,2.5,1,45,6,5.10144927536232,112.563086104007,3.61964858861771,112.563086104007,352,69,0.492537313432836,1888,0.285076923076923,0.347826086956522,71.0769230769231,1.85714285714286,5,25,1
2009091400,19,5.64556962025316,40.9753326841934,0.977030652042349,40.9753326841934,446,79,0.5859375,2178,0.354448717948718,0.506493506493506,69.3,3,2,55,4,5.60416666666667,68.8825354609929,0.609535404857927,68.8825354609929,269,48,0.527272727272727,1317,0.312595744680851,0.416666666666667,70.625,2.42857142857143,1,71,1
